time_s,total_Fx_N_min,total_Fx_N_max,total_Fx_N_valid_scenarios,total_Fz_N_min,total_Fz_N_max,total_Fz_N_valid_scenarios,left_ankle_Nm_min,left_ankle_Nm_max,left_ankle_Nm_valid_scenarios,left_knee_Nm_min,left_knee_Nm_max,left_knee_Nm_valid_scenarios,left_hip_Nm_min,left_hip_Nm_max,left_hip_Nm_valid_scenarios,right_ankle_Nm_min,right_ankle_Nm_max,right_ankle_Nm_valid_scenarios,right_knee_Nm_min,right_knee_Nm_max,right_knee_Nm_valid_scenarios,right_hip_Nm_min,right_hip_Nm_max,right_hip_Nm_valid_scenarios
0.0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.060744,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.094078,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.127411,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.160744,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.194078,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.227411,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0
0.260733,-71.14783033988722,-54.19215399508164,14,826.5706152979133,923.6036517623567,14,,,1,,,1,,,1,,,1,,,1,,,1
0.294067,-75.27611376193153,-56.097567310957444,14,822.0980342448333,918.6032885362085,14,,,1,,,1,,,1,,,1,,,1,,,1
0.3274,-71.8403518903923,-46.20913790506243,15,819.599234709785,915.8088377153414,15,,,1,,,1,,,1,,,1,,,1,,,1
0.360733,-56.5784026858601,-45.974690693429984,15,820.9332722516187,917.2977852516037,15,,,1,,,1,,,1,,,1,,,1,,,1
0.394067,-45.50628483108873,-37.23241486179996,15,821.9465556419215,918.4301775270314,15,,,1,,,1,,,1,,,1,,,1,,,1
0.4274,-38.91463125608482,-16.2030386776282,15,827.165633504516,924.2583949737526,15,,,2,,,2,,,2,,,2,,,2,,,2
0.460733,-32.96482000436007,-13.737827008367862,15,832.2294684265727,929.911629781198,15,,,4,,,4,,,4,,,4,,,4,,,4
0.494067,-24.146072302232227,-16.09084228621884,15,836.2582238070609,934.409938076043,15,-28.14329539689117,-0.18139982717819206,14,-3.6571522328603994,20.86579091821348,14,-1.5277711624834405,5.600118300342518,14,-59.35018333409937,-24.17682395077986,14,-40.52836864162399,5.784893606694865,14,-158.10723184043945,-125.83708949797547,14
0.5274,-20.938791492251845,-14.630675956942458,15,832.941421244443,930.7002964640106,15,-29.9382665675166,-0.24442095660645924,14,-4.878597898771535,22.182146821274316,14,-0.8409963102915166,5.572903260697186,14,-54.49065180480377,-20.568546794909363,14,-38.28681460812069,7.924405527170277,14,-153.78395416581222,-118.96248689236069,14
0.560722,-25.61594939182121,-7.767451501445689,15,824.7145287455688,921.5053410405699,15,-33.06760439741076,-0.0938926168279608,14,-4.2417143453726815,24.349053129579385,14,1.3112567593475566,8.85096351946656,14,-50.04007591278912,-19.417677934814947,14,-36.83556166691419,8.049975420014611,14,-149.04245416507257,-110.68686823506332,14
0.594056,-21.336162272793963,-3.7471329067417214,15,815.6197348803163,911.3438348976621,15,-36.269836436808255,-1.448953916623823,14,5.714999698429999,27.323640074587875,14,4.333795065905162,11.184702573158937,14,-47.06717810269475,-20.72812820795539,14,-36.39722174754646,0.3974012801469424,14,-145.10301642352428,-103.72470121524344,14
0.627389,-5.6486660560645845,0.0021907626819786807,15,811.8589188258298,907.1468833071979,15,-39.55931810342713,-3.721916181113411,14,17.762401623555995,30.52099525831965,14,4.028227820600346,16.079989033766164,14,-44.455805104295735,-22.854407834134463,14,-36.45363078298157,-9.702764961835658,14,-143.23166376765167,-97.45161527835884,14
0.660722,2.433713249403271,12.42555174942339,15,809.3375745051325,904.3404761353776,15,-44.02634827235946,-4.627716498123221,14,21.617768057540886,34.14013635624436,14,-0.27947040404925794,18.496367849569943,14,-40.135489458270435,-24.53400077357292,14,-35.33750483675569,-14.789578726900817,14,-139.15619268371464,-86.94756084593318,14
0.694056,5.763416742061833,22.986179589138548,15,805.4072573463302,899.9625968511311,15,-46.08643158615972,-4.988298387550694,14,25.42504139123168,38.0390386383646,14,-3.2590185311020523,18.98504928012933,14,-37.172714539119774,-25.381375994467426,14,-34.66687429954012,-18.998433875112042,14,-136.0634033206993,-79.66390649747748,14
0.727389,7.918688985401309,26.36366374030489,15,807.1956049804211,901.9852606541316,15,-46.9314398147547,0.5594789649719354,15,-2.9929177354182537,38.871262991067994,15,-4.87686529738655,18.389848997385727,15,-36.440179283854896,17.68713207896353,15,-34.58446199658197,23.924772945968826,15,-144.0963373152002,-77.0419744575522,15
0.760722,5.973906192987745,23.314753484068962,15,816.6284256370925,912.5575087267048,15,-46.590435891816,0.4289901668391042,15,-3.8551578035552025,38.81995593820271,15,-4.27177774904912,17.91223854789552,15,-38.18711276359166,14.633808710415877,15,-35.67489192790458,21.412788567471633,15,-150.12770304883986,-79.292647281603,15
0.794056,2.028285028781922,15.38731369012094,15,834.6647911152188,932.738922042493,15,-43.191829492168196,-4.820665827143126,14,28.021955187210185,36.27831865822699,14,2.0430962978523866,18.37831569405296,14,-45.957971361843164,-33.01426310135734,14,-40.84228483355423,-25.074975274167567,14,-157.32527525468788,-95.05331440415122,14
