frame,finite,inside_image,landmark_quality,bone_consistency,left_target,raw_pose_valid,near_heuristic_stroke,landmark_quality_min_critical,time_s,smooth_window_valid,normal_force_plausible,friction_compatible,double_support_compatible,feet_quasistationary,total_force_valid,torque_valid,com_x_m,com_z_projected_m,com_ax_m_s2,com_az_m_s2,required_hdot_Nm_diagnostic,load_fraction_left_diagnostic,support_lever_m_diagnostic,moment_balance_residual_Nm_diagnostic,total_Fx_N,total_Fz_N,total_Fz_BW,left_Fx_N,left_cop_x_m_assumed,left_Fz_N,left_cop_z_m_assumed,left_ankle_Nm,left_ankle_Nm_kg,left_knee_Nm,left_knee_Nm_kg,left_hip_Nm,left_hip_Nm_kg,right_Fx_N,right_cop_x_m_assumed,right_Fz_N,right_cop_z_m_assumed,right_ankle_Nm,right_ankle_Nm_kg,right_knee_Nm,right_knee_Nm_kg,right_hip_Nm,right_hip_Nm_kg
0,1,1,1,1,1,1,0,0.7474695444107056,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,0,0.7396383881568909,0.041878,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,1,1,1,0,0.7373340725898743,0.075211,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,1,1,1,1,0,0.7267550826072693,0.108544,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,1,1,1,1,1,0,0.7236358523368835,0.141878,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,1,1,1,1,0,0.7183133363723755,0.175211,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,1,1,1,1,0,0.7125281095504761,0.208544,1,1,1,1,1,1,1,-0.06205414102883344,0.9711936524755362,-0.6991576329622076,0.2592971671007972,9.452315571194381,0.031150870783604748,0.33975404049820296,-1.7763568394002505e-15,-63.05003534053189,908.0492185291502,1.028484787098369,-1.9640635037946217,-0.32020808543799195,28.286523871554827,0.08691515089148866,-0.18641788279312438,-0.002071309808812493,0.3594841353652001,0.0039942681707244455,2.8085247244938674,0.03120583027215408,-61.085971836737265,0.02553445477155715,879.7626946575953,0.012449690690951325,-43.49772353655045,-0.48330803929500504,-38.87467899769851,-0.4319408777522057,-205.4350275348026,-2.2826114170533622
7,1,1,1,1,1,1,0,0.7053350210189819,0.241867,1,1,1,0,1,1,0,-0.06174312785604933,0.9723412467129938,-0.831535347118839,0.22326094212794578,8.797591500220308,-0.00429822161096018,0.33475115518004794,0.0,-74.98785760317692,904.7994717610984,1.024804022835087,,,,,,,,,,,,,,,,,,,,
8,1,1,1,1,1,1,0,0.6979570388793945,0.2752,1,1,1,0,1,1,0,-0.0625144028680297,0.9738409433854607,-0.9140047464402808,0.15883103618715047,7.119565569180992,-0.01880337750071972,0.3305349270651814,-1.4210854715202004e-14,-82.42494803398455,898.9891828433575,1.018223108894957,,,,,,,,,,,,,,,,,,,,
9,1,1,1,1,1,1,0,0.6983218789100647,0.308533,1,1,1,0,1,1,0,-0.06415533289423024,0.9756971049881357,-1.00473622003643,0.046751646698976,6.554152419462928,-0.03792172597975031,0.32659900777554957,6.217248937900877e-15,-90.60711232288529,888.8818634993139,1.0067752446475409,,,,,,,,,,,,,,,,,,,,
10,1,1,1,1,1,1,0,0.6949670314788818,0.341867,1,1,1,0,1,1,0,-0.06749752915074904,0.9776695119875931,-0.9360506986263986,-0.087954352834235,6.693120769543451,-0.007527379553741417,0.32536632289751577,1.1546319456101628e-14,-84.41305200212864,876.734076461409,0.9930162832273292,,,,,,,,,,,,,,,,,,,,
11,1,1,1,1,1,1,0,0.6921141147613525,0.3752,1,1,1,1,1,1,1,-0.07197489105038066,0.9793724807517958,-0.8255941405713535,-0.19221204978984105,6.677798333091564,0.04062949306308804,0.32450093671939517,-8.881784197001252e-15,-74.45207959672467,867.3321173499523,0.9823673319174904,-3.0249502515076037,-0.29990224618794104,35.23926424526335,0.08428154629285815,-0.4530115722358697,-0.005033461913731886,1.9587383334902473,0.021763759261002748,4.516130933752947,0.05017923259725497,-71.42712934521707,0.03181856470098886,832.092853104689,0.014075440467654517,-38.51066431483159,-0.4278962701647954,-45.20839246075965,-0.5023154717862183,-193.38915383202536,-2.1487683759113927
12,1,1,1,1,1,1,0,0.6895148754119873,0.408533,1,1,1,1,1,1,1,-0.07762839684715273,0.9808421945774278,-0.6464614513233461,-0.2856494813042461,6.999050522609509,0.11385549183273498,0.32381364872152635,-8.881784197001252e-16,-58.297893680339364,858.9059297759834,0.9728235697995053,-6.637535357787531,-0.2957246838997768,97.79115707269712,0.07681006711602512,-2.2984799705977057,-0.02553866633997451,14.885192041206569,0.165391022680073,15.42897988815686,0.17143310986840957,-51.66035832255183,0.03304777829749435,761.1147727032862,0.014728340315718895,-36.21337857911045,-0.4023708731012272,-55.648565491841545,-0.618317394353795,-190.7000168719748,-2.1188890763552757
13,1,1,1,1,1,1,0,0.685944676399231,0.441867,1,1,1,1,1,1,1,-0.08409348144823198,0.9817722068679682,-0.44464314159760604,-0.30880602385417316,6.052544578267682,0.2025138961325446,0.32412990531563224,3.552713678800501e-15,-40.09791850927212,856.817672768831,0.9704583449641306,-8.120385704117972,-0.29308482925753815,173.51748518763566,0.06899667887645723,-5.138744419448804,-0.05709716021609782,28.256356131580738,0.3139595125731193,24.624699706442872,0.2736077745160319,-31.977532805154148,0.03390142108110099,683.3001875811955,0.015542191703883334,-34.16731065822955,-0.3796367850914395,-63.8879467267044,-0.70986607474116,-184.9787130166434,-2.05531903351826
14,1,1,1,1,1,1,0,0.6749300956726074,0.4752,1,1,1,1,1,1,1,-0.09098300586686252,0.9821937471474262,-0.25142597184557247,-0.27292756749569325,5.300948555376494,0.2880158515243281,0.32503914077914164,-8.881784197001252e-16,-22.673594141033732,860.0531919632385,0.9741229946349965,-6.530354523646848,-0.2920597462515829,247.70895243950858,0.06185627522287418,-8.301937489771216,-0.09224374988634684,39.24096391211246,0.4360107101345829,30.290956625765546,0.3365661847307283,-16.143239617386886,0.034295479975620005,612.34423952373,0.016218375264001127,-32.69453587775442,-0.36327262086393797,-69.01710635001261,-0.7668567372223624,-177.2444461833831,-1.9693827353709235
